layer,feature,label,f1_score,accuracy,precision,recall,main_theme,sub_theme
22,234,Financial performance and market movements in stock market news and reports.,0.605,0.477,0.743,0.51,And & Economic,And Performance
28,172,"Financial and market-related terms, including stock, competition, and economic indicators.",0.864,0.76,1.0,0.76,And & Economic,And Stock
4,89,"Financial and business terms, market trends, investments, economic indicators",0.772,0.646,0.765,0.78,And & Economic,And Performance
16,320,Innovation and market performance in tech companies,0.567,0.527,0.85,0.425,And & Economic,And Tech
28,398,"Punctuation marks (periods, colons) indicating sentence boundaries and clause separations.",0.211,0.308,0.857,0.12,And & Contexts,Sentence And
10,313,Financial performance and time periods in business contexts,0.608,0.523,0.828,0.48,And & Time,Time Periods
28,26,"Growth, financial metrics, and market performance",0.688,0.554,0.744,0.64,And & Metrics,And Metrics
16,243,Financial and business growth indicators and market trends,0.695,0.554,0.733,0.66,And & Economic,And Contexts
10,111,Connectors linking clauses and ideas,0.267,0.323,0.8,0.16,And & Contexts,And Punctuation
16,286,"Financial and business-related terms, trends, and metrics",0.836,0.723,0.767,0.92,And & Contexts,And Concepts
4,79,Transitions and connections in financial and business contexts,0.725,0.615,0.805,0.66,And & Contexts,And Contexts
22,112,"Financial and market activities, particularly stocks and trading",0.781,0.646,0.745,0.82,And & Economic,And Contexts
10,376,"Financial and market terms, focusing on economic indicators and entities",0.788,0.677,0.796,0.78,And & Economic,And Economic
4,211,Directional movements and financial trends in stock market contexts,0.486,0.446,0.85,0.34,And & Economic,And Contexts
10,222,"Financial and business-related terms, including stocks, companies, and market activities.",0.857,0.754,0.787,0.941,And & Contexts,And Concepts
22,196,Financial market terms and stock performance indicators,0.74,0.6,0.755,0.725,And & Economic,And Performance
4,172,Financial metrics and percentages in specific digits,0.5,0.477,0.944,0.34,And & Metrics,And Metrics
4,292,Financial context indicators and metrics connectors,0.703,0.585,0.8,0.627,And & Metrics,And Contexts
10,79,Transitional phrases linking related ideas or providing additional context.,0.387,0.415,1.0,0.24,And & Contexts,And Punctuation
22,61,Economic and technological growth drivers in industries and markets,0.617,0.523,0.806,0.5,And & Contexts,And Contexts
16,225,"Financial and business context, market trends, investor sentiment, company performance",0.847,0.738,0.77,0.94,And & Economic,And Contexts
28,240,Financial symbols and years in stock and economic reports,0.689,0.569,0.775,0.62,And & Economic,And Contexts
22,316,Financial metrics and business performance indicators,0.593,0.492,0.774,0.48,And & Metrics,And Performance
10,387,End-of-sentence markers and punctuation in news articles and financial reports,0.276,0.354,1.0,0.16,And & Contexts,Sentence End
22,158,"Specific attributes or actions of companies, individuals, or financial entities.",0.796,0.677,0.774,0.82,And & Contexts,And Tech
16,328,Geopolitical and financial entities and terms,0.818,0.692,0.75,0.9,And & Contexts,And Contexts
22,236,"Financial and business-related terms, focusing on growth, strategy, and market performance.",0.774,0.631,0.732,0.82,And & Contexts,And Concepts
28,233,Financial performance and expectations in business contexts,0.659,0.538,0.763,0.58,And & Contexts,And Performance
10,124,Indefinite articles introducing specific business or financial entities,0.271,0.338,0.889,0.16,And & Contexts,And Tech
16,89,"Temporal and financial events, company announcements, market activities",0.8,0.677,0.764,0.84,And & Economic,And Contexts
22,250,"Business and technical terms related to production, technology, and finance",0.857,0.754,0.774,0.96,And & Contexts,And Technical
16,223,"Emphasis on frequency, degree, and extent in business and tech contexts",0.507,0.462,0.9,0.353,And & Contexts,And Tech
28,356,Current state or position of entities in various contexts,0.494,0.4,0.731,0.373,And & Contexts,And Contexts
4,365,"Financial and stock market terms, including currency, stock symbols, and metrics.",0.778,0.692,0.875,0.7,And & Economic,And Contexts
4,302,Specific points in time or notable events,0.575,0.523,0.955,0.412,And & Time,And Tech
4,148,Definite articles in formal financial and business contexts,0.486,0.446,0.895,0.333,And & Contexts,And Contexts
28,141,Demonstrative and specific descriptors in financial and news contexts,0.695,0.554,0.733,0.66,And & Contexts,And News
28,383,"Financial and economic policy, regulatory influence, and market actions",0.742,0.646,0.846,0.66,And & Economic,And Economic
10,186,"Temporal and financial milestones, often specific dates or performance metrics.",0.667,0.554,0.806,0.569,And & Metrics,And Tech
4,266,Metadata and structural elements of financial and news articles,0.556,0.508,0.909,0.4,And & Contexts,And Elements
22,377,"Financial transactions, market values, and corporate financial metrics",0.811,0.692,0.768,0.86,And & Metrics,And Metrics
16,348,"Financial terms and market conditions, emphasizing significant economic indicators and performance metrics.",0.716,0.585,0.756,0.68,And & Economic,And Economic
22,44,Structural elements indicating article continuation or segmentation,0.344,0.354,0.786,0.22,And & Contexts,And Elements
16,211,Punctuation and key words introducing or concluding financial statements,0.729,0.646,0.886,0.62,And & Contexts,And Words
4,253,Actions and changes in financial and business contexts,0.762,0.615,0.727,0.8,And & Contexts,And Contexts
16,382,Punctuation and short functional words structuring phrases,0.207,0.292,0.857,0.118,And & Contexts,And Words
10,209,Conjunctions and commas linking business or financial terms,0.538,0.446,0.75,0.42,And & Contexts,And Punctuation
16,151,"Names, roles, and industry terms in beauty and finance sectors",0.674,0.569,0.806,0.58,And & Contexts,And Contexts
4,114,Specific months and quarters in financial contexts,0.507,0.492,1.0,0.34,And & Contexts,Contexts And
28,64,"U.S. economic and financial entities, including government, markets, and technology.",0.8,0.692,0.8,0.8,And & Contexts,And Contexts
16,341,Financial market events and transactions,0.843,0.754,0.827,0.86,And & Economic,And Contexts
4,293,"Business and financial market actions, conflicts, and relationships",0.788,0.662,0.759,0.82,And & Economic,And Contexts
28,41,End of sentences in financial and stock-related contexts,0.667,0.629,0.684,0.65,Stock & And,End Sentences
10,190,"Financial and economic roles, events, and metrics",0.82,0.723,0.82,0.82,And & Economic,And Economic
4,280,Conjunctions and transitional phrases linking related ideas or providing additional information.,0.675,0.585,0.875,0.549,And & Contexts,And Punctuation
16,163,"Financial transactions, values, and market activities",0.808,0.708,0.816,0.8,And & Economic,And Contexts
16,340,Titles and structural elements of articles and webinars,0.431,0.431,0.933,0.28,And & Contexts,And Elements
10,303,"Financial market events, stock performance, and investment recommendations",0.765,0.631,0.75,0.78,And & Economic,And Contexts
22,179,Temporal or situational context in financial discussions,0.702,0.569,0.75,0.66,And & Contexts,And Contexts
10,370,Financial and market-related terms and activities,0.936,0.88,1.0,0.88,And & Economic,And Stock
10,9,Financial and business terms in news and market contexts,0.826,0.708,0.763,0.9,And & Contexts,And Performance
4,141,"Financial and business-related terms, focusing on growth, profits, and market positions.",0.901,0.82,1.0,0.82,And & Contexts,And Concepts
16,177,"Financial and business terms, focusing on companies, stocks, and market performance.",0.851,0.769,0.843,0.86,And & Contexts,And Performance
16,247,Sentence boundaries and structural transitions,0.145,0.277,0.8,0.08,And & Contexts,Sentence And
28,80,Financial and economic events with specific dates or actions,0.478,0.462,0.941,0.32,And & Contexts,And Economic
16,50,Ownership and association through possessive forms and pronouns,0.323,0.354,0.833,0.2,And & Contexts,And Contexts
22,0,Initials and word fragments in financial and tech contexts,0.829,0.708,0.754,0.92,And & Contexts,And Tech
4,135,Technical terms and symbols in technology and finance contexts,0.716,0.585,0.756,0.68,And & Contexts,And Technical
4,304,Common functional words in financial and business contexts,0.785,0.646,0.737,0.84,And & Contexts,And Words
4,28,Indefinite article introducing a specific instance or example,0.175,0.277,0.833,0.098,And & Contexts,And Tech
4,121,"Introduces specific time periods, contexts, or detailed information.",0.493,0.431,0.783,0.36,And & Time,Time Periods
22,260,Degrees of intensity or comparison in financial contexts,0.494,0.369,0.645,0.4,And & Contexts,Contexts And
10,197,Specific months and dates in financial or news contexts,0.406,0.415,1.0,0.255,And & Contexts,And News
4,129,Professional actions and roles in financial and technological contexts,0.697,0.585,0.795,0.62,And & Contexts,And Contexts
10,175,Financial and business-related entities and concepts,0.875,0.785,0.79,0.98,And & Contexts,And Concepts
28,328,Transitional words indicating business changes and movements,0.423,0.369,0.75,0.294,And & Contexts,And Words
16,360,Transitions and temporal relationships in text,0.438,0.28,1.0,0.28,And & Contexts,And Contexts
16,238,Prepositions and articles in financial and corporate contexts,0.769,0.677,0.854,0.7,And & Contexts,And Contexts
10,174,"Temporal and positional relationships, indicating proximity or timing.",0.583,0.538,1.0,0.412,And & Contexts,And Contexts
10,383,Speculative and uncertain future economic or market conditions,0.675,0.615,0.963,0.52,And & Economic,And Contexts
28,47,"Financial market events, trends, and specific financial terms",0.774,0.631,0.732,0.82,And & Economic,And Contexts
16,269,"Financial and business terms, including numbers and industry jargon",0.873,0.785,0.8,0.96,And & Contexts,And Performance
28,67,"Financial and economic terms, focusing on monetary policy and investment strategies.",0.763,0.646,0.787,0.74,And & Economic,And Economic
28,140,Financial and economic entities and concepts,0.947,0.9,1.0,0.9,And & Economic,And Economic
28,188,Financial and stock-related character sequences in headlines and news articles,0.75,0.631,0.783,0.72,And & Contexts,And News
4,341,Commas separating financial or market-related clauses or phrases,0.305,0.369,1.0,0.18,And & Economic,And Stock
28,18,Introduces clauses with additional information or context,0.323,0.354,0.833,0.2,And & Contexts,And Contexts
22,349,Technical and financial terms related to product performance and market trends,0.774,0.631,0.732,0.82,And & Economic,And Technical
4,65,Transitions or key points in financial or business contexts,0.769,0.677,0.875,0.686,And & Contexts,And Contexts
16,285,Specific years in financial or market contexts,0.462,0.462,1.0,0.3,And & Economic,And Contexts
28,282,Actions and goals in business and technology contexts,0.702,0.569,0.75,0.66,And & Contexts,And Contexts
10,291,Financial and economic terms in news articles or reports,0.769,0.631,0.741,0.8,And & Economic,And Economic
16,319,Common financial and economic reporting terms and phrases,0.842,0.769,0.889,0.8,And & Contexts,And Economic
10,25,Punctuation and closing tags indicating sentence or format boundaries,0.451,0.4,0.762,0.32,And & Contexts,Sentence And
10,48,"Sentence boundary marker, specifically periods.",0.476,0.56,0.455,0.5,Sentence & Marker,Sentence Boundary
10,345,"Financial transactions, real estate, and corporate actions involving specific entities",0.721,0.631,0.861,0.62,And & Contexts,And Contexts
28,294,Financial and market-related terms and company names,0.936,0.88,1.0,0.88,And & Names,And Names
16,21,Time periods and durations in financial and market contexts,0.707,0.631,0.906,0.58,And & Time,Time Periods
10,140,"Financial and economic terms, often related to market performance and company metrics.",0.811,0.692,0.768,0.86,And & Economic,And Economic
28,318,Financial terms and investment strategies,0.854,0.769,0.83,0.88,And & Contexts,And Contexts
4,394,Articles indicating significant financial or market events,0.5,0.446,0.818,0.36,And & Economic,And Words
4,162,Titles and roles of financial and economic figures,0.605,0.538,0.92,0.451,And & Contexts,And Economic
4,168,Introduces context or reason for preceding statement or action,0.412,0.385,0.824,0.275,And & Contexts,And Contexts
22,105,Financial terms and structural elements in financial text,0.72,0.569,0.72,0.72,And & Contexts,And Elements
4,393,Financial outcomes and market impacts,0.727,0.585,0.75,0.706,And & Economic,And Contexts
10,71,Commas separating financial and business-related items in lists or clauses,0.271,0.338,0.889,0.16,And & Contexts,And Concepts
28,365,Transitions and connections in financial and technical contexts,0.784,0.662,0.784,0.784,And & Time,And Technical
4,155,Structural elements and punctuation in text,0.683,0.6,0.875,0.56,And & Contexts,And Elements
4,316,Initial letters and parts of names of notable finance and business figures,0.535,0.492,0.905,0.38,And & Contexts,And Contexts
22,166,"Financial and business terms, focusing on market performance, forecasts, and strategic actions.",0.774,0.631,0.732,0.82,And & Contexts,And Performance
16,125,Key words signaling story continuation or publication,0.635,0.523,0.794,0.529,And & Contexts,And Words
16,219,"End of sentences, marked by periods.",0.143,0.52,0.333,0.091,Stock & And,End Sentences
28,194,"Temporal and financial events, including publications, market movements, and reports.",0.752,0.615,0.745,0.76,And & Economic,And Contexts
28,370,Financial and market-related terms and concepts,0.785,0.646,0.737,0.84,And & Economic,And Stock
4,344,Financial and stock market-related terms and concepts,0.901,0.82,1.0,0.82,And & Economic,And Stock
28,169,"Financial and stock-related terms, including company names and performance metrics.",0.785,0.646,0.737,0.84,And & Names,And Names
28,297,Business and market-related strategic relationships and reactions,0.808,0.692,0.778,0.84,And & Economic,And Stock
16,208,Financial metrics and performance indicators in business and stock market contexts,0.792,0.692,0.826,0.76,And & Metrics,And Performance
16,101,Financial and corporate entity names and stock-related terms,0.788,0.662,0.759,0.82,And & Names,And Names
16,8,Actions or strategies in competitive or financial contexts,0.788,0.677,0.796,0.78,And & Contexts,Contexts And
28,166,Financial transactions and investments,0.772,0.646,0.765,0.78,And & Contexts,And Contexts
16,51,"Financial and economic concepts, including growth, revenue, and market conditions.",0.8,0.677,0.764,0.84,And & Economic,And Economic
22,216,"Financial market dynamics, stock and bond movements, and interrelations.",0.628,0.508,0.75,0.54,And & Economic,And Contexts
10,271,Financial performance and stock market trends,0.735,0.6,0.75,0.72,And & Economic,And Performance
10,156,Actions influencing financial or business outcomes,0.781,0.646,0.745,0.82,And & Contexts,And Contexts
22,353,Financial and business-related terms and entities,0.99,0.98,1.0,0.98,And & Contexts,And Concepts
22,156,Potential or future actions in financial or business contexts,0.69,0.585,0.833,0.588,And & Contexts,And Contexts
28,66,Financial metrics and business events,0.811,0.692,0.768,0.86,And & Metrics,And Metrics
10,57,"Transitions, conditions, and outcomes in financial and business contexts",0.809,0.723,0.864,0.76,And & Contexts,And Contexts
16,43,"Temporal and financial context, specific time periods and economic metrics",0.694,0.538,0.708,0.68,And & Time,Time Periods
16,311,"Financial and market-related statements, including economic indicators and company performance.",0.822,0.708,0.786,0.863,And & Economic,And Stock
28,364,End of sentences or statements in financial and stock-related text.,0.303,0.343,0.385,0.25,Stock & And,End Sentences
22,139,End of sentences in financial and stock-related contexts,0.5,0.486,0.562,0.45,Stock & And,End Sentences
4,173,"Shifts and changes in financial and market conditions, involving timing and strategic actions.",0.464,0.431,0.842,0.32,And & Economic,And Contexts
16,393,Punctuation and common words in structured text,0.233,0.292,0.778,0.137,And & Contexts,And Words
10,96,Company names and financial terms in stock and business news,0.821,0.738,0.867,0.78,And & Names,And Names
4,115,Fragments of words and acronyms in financial and business contexts,0.857,0.754,0.787,0.941,And & Contexts,And Contexts
28,325,Financial and business news abbreviations and key terms,0.776,0.662,0.792,0.76,And & Contexts,And Words
4,371,Company names and stock-related entities,0.766,0.662,0.818,0.72,And & Names,And Names
10,252,Company names and stock-related financial activities,0.792,0.677,0.8,0.784,And & Names,And Names
4,346,Financial performance metrics and economic indicators,0.558,0.415,0.667,0.48,And & Metrics,And Performance
28,28,Financial market events and trends,0.82,0.723,0.837,0.804,And & Economic,And Contexts
22,274,"Financial movements and market trends, focusing on directional changes and metrics.",0.682,0.585,0.829,0.58,And & Economic,And Contexts
16,363,End of sentences in financial and stock-related contexts,0.609,0.64,0.583,0.636,Stock & And,End Sentences
22,106,Common contextually significant words in financial and business news,0.769,0.631,0.741,0.8,And & Contexts,And Words
16,351,Names and terms related to AI and tech companies,0.479,0.431,0.81,0.34,And & Contexts,And Tech
28,341,Uncertainty and potential in financial forecasts and stock performance,0.464,0.431,0.889,0.314,And & Contexts,And Contexts
16,188,"Expressions of belief, perception, and identification in financial and business contexts",0.59,0.508,0.821,0.46,And & Contexts,And Contexts
28,161,"Company names and stock-related terms, often abbreviated or partially visible.",0.771,0.662,0.804,0.74,And & Names,And Names
10,288,Financial actions and milestones in stock and market contexts,0.714,0.569,0.729,0.7,And & Economic,And Contexts
16,221,Temporal and financial trends over extended periods,0.587,0.523,0.88,0.44,And & Contexts,And Contexts
22,206,Temporal or conditional points in financial contexts,0.532,0.431,0.724,0.42,And & Contexts,Contexts And
4,298,Punctuation and common words in financial news articles,0.522,0.492,0.947,0.36,And & Contexts,And Words
28,58,Prepositions and conjunctions in financial and business contexts,0.784,0.662,0.769,0.8,And & Contexts,And Contexts
22,30,Punctuation and special characters for structuring and emphasis,0.528,0.477,0.905,0.373,And & Contexts,And Punctuation
16,191,"Financial market events, economic indicators, and geopolitical risks",0.721,0.631,0.861,0.62,And & Economic,And Economic
4,26,"Actions, transitions, and key points in business and technology contexts",0.768,0.646,0.792,0.745,And & Contexts,And Contexts
28,162,"Financial and economic terms, market actions, and predictions",0.796,0.677,0.774,0.82,And & Economic,And Economic
16,15,End of sentences in financial and stock market updates.,0.353,0.56,0.5,0.273,Stock & And,End Sentences
4,36,Notable entities or significant events in financial or business contexts,0.811,0.692,0.768,0.86,And & Contexts,And Contexts
22,313,Economic and financial events or terms,0.839,0.723,0.758,0.94,And & Economic,And Economic
28,340,"Financial and business-related terms, emphasizing time, performance, and market conditions.",0.901,0.82,1.0,0.82,And & Contexts,And Concepts
4,91,Uncertainty and potential future outcomes in financial and technological contexts.,0.736,0.646,0.865,0.64,And & Contexts,And Contexts
28,184,Transitions and contrasts in financial and technological contexts,0.705,0.6,0.816,0.62,And & Contexts,And Contexts
22,161,Technology and financial market terms,0.83,0.723,0.786,0.88,And & Economic,And Contexts
28,72,"Financial and economic terms, including indicators, strategies, and market analysis.",0.788,0.662,0.759,0.82,And & Economic,And Economic
28,103,"Articles, punctuation, and key financial terms highlight important details.",0.394,0.385,0.812,0.26,And & Contexts,And Contexts
16,281,"Geographic and economic entities (e.g., US, Europe, India)",0.328,0.369,1.0,0.196,And & Contexts,And Contexts
22,383,"Quantifiers and modifiers indicating quantity, frequency, and specificity",0.4,0.4,0.867,0.26,And & Contexts,And Contexts
28,164,Financial actions and market movements,0.765,0.631,0.75,0.78,And & Economic,And Contexts
16,64,"Actions, intentions, and strategic moves in business and politics",0.635,0.523,0.771,0.54,And & Contexts,And Contexts
16,339,"Connects related financial or business ideas, indicating continuation or addition.",0.645,0.492,0.698,0.6,And & Contexts,And Contexts
22,254,End of sentence in financial contexts,0.444,0.6,0.5,0.4,Sentence & Marker,Sentence End
10,168,Connective words and phrases indicating relationships and timing in financial contexts,0.582,0.492,0.793,0.46,And & Contexts,Contexts And
16,346,Financial metrics and projections in business contexts,0.727,0.631,0.842,0.64,And & Metrics,And Metrics
4,241,Financial metrics and stock-related entities,0.8,0.677,0.764,0.84,And & Metrics,And Metrics
28,271,Financial and business performance metrics and market dynamics,0.8,0.692,0.8,0.8,And & Metrics,And Performance
22,96,"Contextual markers for titles, quotes, or transitions",0.575,0.523,0.955,0.412,And & Contexts,And Contexts
28,83,Structural elements guiding text flow and emphasis,0.305,0.18,1.0,0.18,And & Contexts,And Elements
10,381,Economic downturn indicators and market performance concerns,0.485,0.477,1.0,0.32,And & Economic,And Economic
10,22,Names and specific entities in financial and business contexts,0.846,0.754,0.815,0.88,And & Contexts,And Contexts
4,96,Economic indicators and market trends influencing financial decisions and sentiment.,0.889,0.831,0.898,0.88,And & Economic,And Economic
22,391,Financial trends and market movements,0.756,0.662,0.85,0.68,And & Economic,And Contexts
22,309,"Financial and business terms, focusing on company performance and market trends.",0.833,0.723,0.776,0.9,And & Contexts,And Performance
16,249,Temporal indicators and sequences of events,0.545,0.462,0.778,0.42,And & Contexts,And Contexts
22,285,Key financial and tech entities and concepts,0.745,0.629,0.633,0.905,And & Contexts,And Tech
4,199,Future-oriented financial actions and potential outcomes,0.634,0.538,0.812,0.52,And & Contexts,And Contexts
10,128,Time periods and economic events,0.725,0.662,1.0,0.569,And & Time,Time Periods
4,180,Digits and numbers in financial contexts,0.651,0.538,0.8,0.549,And & Contexts,Contexts And
28,261,"Financial performance and market trends, including specific metrics and actions.",0.832,0.738,0.824,0.84,And & Economic,And Performance
4,347,Sentence boundaries and punctuation marks,0.113,0.277,1.0,0.06,And & Contexts,Sentence And
28,97,Speculative and conditional language in financial contexts,0.338,0.338,0.733,0.22,And & Contexts,Contexts And
28,159,"Common prepositions and punctuation, indicating structural roles in sentences.",0.207,0.292,0.75,0.12,And & Contexts,And Elements
22,117,"Publication metadata, including dates, sources, and authors.",0.381,0.4,1.0,0.235,And & Contexts,And Contexts
10,215,"End of sentences, marked by periods.",0.154,0.56,0.5,0.091,Stock & And,End Sentences
16,231,Financial metrics and company performance indicators,0.779,0.677,0.841,0.725,And & Metrics,And Performance
10,368,Financial and business actions and states,0.868,0.785,0.821,0.92,And & Contexts,And States
10,104,"Introduces additional information, examples, or comparisons",0.457,0.415,0.842,0.314,And & Contexts,And Contexts
10,106,Punctuation and transition words in financial text,0.317,0.338,0.833,0.196,And & Contexts,And Words
16,207,Financial performance and growth metrics in business contexts,0.719,0.615,0.821,0.64,And & Metrics,And Performance
10,52,"Financial and market-related segments, including numbers and symbols",0.827,0.723,0.796,0.86,And & Economic,And Stock
28,307,Punctuation marks for sentence structure and clarity,0.039,0.02,1.0,0.02,And & Contexts,Sentence And
4,174,"Temporal context of recent, upcoming, or past events",0.716,0.646,0.935,0.58,And & Contexts,And Contexts
4,303,"Ownership, publication, and specific business actions or relationships",0.78,0.64,1.0,0.64,And & Contexts,And States
22,298,Connectors and transitional elements in text structure,0.182,0.308,1.0,0.1,And & Contexts,And Punctuation
10,207,"Financial metrics and performance indicators, often as percentages",0.522,0.492,0.947,0.36,And & Metrics,And Performance
10,232,"Economic and financial metrics, trends, and performance indicators",0.727,0.585,0.75,0.706,And & Metrics,And Performance
16,380,Financial events and market activities,0.769,0.631,0.741,0.8,And & Economic,And Contexts
10,235,"Financial and economic events, market movements, and corporate actions",0.804,0.692,0.788,0.82,And & Economic,And Economic
10,337,Conjunctions and punctuation linking related items or concepts,0.575,0.477,0.767,0.46,And & Contexts,And Punctuation
10,201,Financial and stock market-related terms and concepts,0.822,0.708,0.786,0.863,And & Economic,And Stock
10,375,Statements or actions by individuals or entities in financial or business contexts.,0.846,0.754,0.815,0.88,And & Contexts,And Contexts
4,269,Financial and stock market-related terms and concepts,0.822,0.708,0.772,0.88,And & Economic,And Stock
22,202,Functional words and punctuation in financial and business contexts,0.752,0.615,0.76,0.745,And & Contexts,And Words
22,345,Business entities and their financial or operational segments,0.71,0.585,0.767,0.66,And & Contexts,And Contexts
4,105,Punctuation and conjunctions introducing financial clauses,0.513,0.415,0.714,0.4,And & Contexts,And Punctuation
22,197,Uncertainty and speculation in financial transitions,0.485,0.477,1.0,0.32,And & Contexts,And Contexts
22,315,Punctuation and conjunctions for sentence structure and flow,0.111,0.262,1.0,0.059,And & Contexts,And Punctuation
16,134,"Stock market and financial terms, often related to specific companies or indices.",0.785,0.646,0.737,0.84,And & Economic,And Tech
4,109,"Sentence boundary marker, specifically periods.",0.526,0.64,0.556,0.5,Sentence & Marker,Sentence Boundary
28,137,"Connections between tech companies, AI, and strategic initiatives",0.418,0.4,0.875,0.275,And & Contexts,And Tech
16,307,"Financial and business-related terms, focusing on investments, technology, and economic growth.",0.849,0.754,0.818,0.882,And & Contexts,And Concepts
22,173,Words at sentence beginnings or with contextual significance,0.636,0.508,0.757,0.549,And & Contexts,Sentence And
22,132,"Financial and stock market-related terms, including company names and performance indicators.",0.757,0.615,0.736,0.78,And & Names,And Names
22,71,Key entities and actions in financial and business contexts,0.792,0.662,0.75,0.84,And & Contexts,And Contexts
16,171,Financial metrics and growth indicators in company performance,0.528,0.477,0.864,0.38,And & Metrics,And Metrics
4,388,Punctuation in financial and news text,0.364,0.354,0.75,0.24,And & Contexts,And News
22,168,"Financial and business-related terms, including names, numbers, and industry-specific words.",0.865,0.769,0.8,0.941,And & Contexts,And Concepts
16,337,Punctuation for separating clauses or items in financial contexts,0.241,0.323,0.875,0.14,And & Contexts,Contexts And
22,226,Functional elements in financial and business text,0.768,0.646,0.776,0.76,And & Contexts,And Elements
22,32,Financial market dynamics and central bank actions,0.507,0.462,0.857,0.36,And & Economic,And Contexts
10,371,"Fragments of company names and financial terms, often split across words.",0.847,0.738,0.77,0.94,And & Names,And Names
10,377,"Formal business communication, including reports, statements, and announcements.",0.533,0.462,0.8,0.4,And & Contexts,And Contexts
16,179,Uncertainty and speculative transitions in financial contexts,0.472,0.415,0.773,0.34,And & Contexts,Contexts And
10,60,Financial actions and market opinions,0.74,0.6,0.74,0.74,And & Economic,And Contexts
16,261,Introduces or transitions to specific details or entities,0.575,0.477,0.767,0.46,And & Contexts,And Tech
22,282,"Actions, intentions, and outcomes in business and technology contexts",0.772,0.646,0.78,0.765,And & Contexts,And Contexts
16,240,Financial acronyms and stock symbols,0.563,0.523,0.952,0.4,And & Contexts,And Contexts
10,176,Punctuation and conjunctions in financial and market statements,0.471,0.446,0.889,0.32,And & Contexts,And Punctuation
28,25,Financial and market-related terms and concepts,0.925,0.86,1.0,0.86,And & Economic,And Stock
4,336,Country and financial entity references in economic contexts,0.597,0.523,0.885,0.451,And & Contexts,And Contexts
4,265,"Economic and business trends, including growth, changes, and market movements.",0.796,0.677,0.774,0.82,And & Economic,And Contexts
4,97,Titles of articles mentioning specific stocks or companies,0.682,0.569,0.789,0.6,And & Contexts,And Tech
4,93,Marks the end or transition of a sentence or thought.,0.375,0.6,0.5,0.3,And & Contexts,Sentence And
22,134,"Media and financial news content, including article titles and platforms",0.836,0.723,0.78,0.902,And & Contexts,And News
4,108,Conjunctions linking business or financial elements,0.694,0.538,0.708,0.68,And & Contexts,And Punctuation
10,58,"Expressions of uncertainty, speculation, and cautious optimism in financial contexts.",0.344,0.354,0.846,0.216,And & Contexts,Contexts And
4,284,Approximate values and qualitative descriptors in financial contexts,0.471,0.446,0.889,0.32,And & Contexts,Contexts And
10,300,"Technical and financial terms related to AI, chips, and market performance",0.779,0.677,0.822,0.74,And & Economic,And Technical
4,364,End of sentence in financial contexts,0.421,0.56,0.5,0.364,Sentence & Marker,Sentence End
4,112,Financial and economic terms in stock market and business news,0.826,0.708,0.763,0.9,And & Economic,And Economic
10,143,"Ranges, time periods, and financial metrics in specific contexts",0.74,0.6,0.74,0.74,And & Time,Time Periods
16,392,Economic and financial terms related to business performance and market activities,0.796,0.662,0.741,0.86,And & Economic,And Contexts
16,260,Temporal or conditional specificity in financial contexts,0.659,0.523,0.75,0.588,And & Contexts,Contexts And
22,58,"Article titles, financial terms, and technical details",0.833,0.723,0.776,0.9,And & Contexts,And News
28,226,Sentence structure and punctuation markers,0.0,0.0,0.0,0.0,And & Contexts,And Punctuation
10,126,Numerical values and financial metrics in financial contexts,0.64,0.585,0.96,0.48,And & Metrics,And Values
4,113,Common financial and news article phrases and terms,0.841,0.738,0.789,0.9,And & Contexts,And News
10,3,"Specific attributes, periods, or conditions with modifiers",0.608,0.523,0.828,0.48,And & Contexts,And Tech
4,311,Financial news and market updates,0.769,0.631,0.755,0.784,And & Contexts,And News
16,65,Introduces specific information or conditions in clauses,0.271,0.338,0.889,0.16,And & Contexts,And Tech
10,257,Numerical values and time periods in financial contexts,0.835,0.769,0.927,0.76,And & Time,Time Periods
4,75,Company names and stock symbols in financial contexts,0.707,0.631,0.906,0.58,And & Names,And Names
28,338,Common functional words and symbols in financial contexts,0.706,0.556,0.632,0.8,And & Contexts,And Words
22,354,End of sentence or significant clause in financial contexts,0.421,0.56,0.444,0.4,Sentence & Marker,Sentence End
22,263,"Initials of company names, stock symbols, and financial terms",0.729,0.646,0.886,0.62,And & Names,And Names
22,140,Financial market trends and investment strategies,0.795,0.66,1.0,0.66,And & Economic,And Contexts
22,306,Company names and related entities in business and technology sectors,0.839,0.769,0.907,0.78,And & Names,And Names
16,178,"Financial and business terms related to tech and AI investments, expansions, and partnerships.",0.624,0.462,0.674,0.58,And & Contexts,And Performance
28,108,"Financial transactions, sales, and investments in real estate and technology",0.71,0.585,0.767,0.66,And & Contexts,And Contexts
22,333,Financial metrics and changes in business contexts,0.737,0.615,0.795,0.686,And & Metrics,And Metrics
22,64,Common functional words and short segments in financial and business contexts,0.822,0.708,0.786,0.863,And & Contexts,And Words
4,378,"Years in the 2020s, often in financial contexts",0.455,0.446,0.938,0.3,And & Contexts,Contexts And
10,136,Capitalized financial entities and stock market terms,0.776,0.708,0.943,0.66,And & Economic,And Contexts
28,29,"Economic and market trends, investor sentiment, and company performance indicators.",0.83,0.723,0.786,0.88,And & Economic,And Economic
16,148,"Financial and business terms, focusing on investments and market activities.",0.796,0.677,0.774,0.82,And & Contexts,And Performance
16,394,"Financial services, stock performance, and company actions",0.804,0.692,0.788,0.82,And & Contexts,And Contexts
